epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.145,2.98257,8.86184,2.0703,0,0,0,0,2.45281,5.27044,1.43839,8.153e-05,8.153e-05,8.153e-05
2,21.1353,2.33189,7.17311,1.55652,0,0,0,0,2.01997,5.0823,1.18296,0.00016405,0.00016405,0.00016405
3,30.6059,2.09116,6.13749,1.2934,0.50562,0.01455,0.03977,0.02023,2.03937,4.42297,1.15926,0.000244903,0.000244903,0.000244903
4,38.8259,2.04415,5.18801,1.26131,0.68488,0.05323,0.05937,0.0315,1.97528,4.08849,1.14837,0.000255189,0.000255189,0.000255189
5,47.0841,2.01522,4.8674,1.21711,0.67163,0.09346,0.11146,0.05216,2.03064,3.82521,1.14794,0.000252585,0.000252585,0.000252585
6,56.6398,1.96972,4.57338,1.20081,0.63894,0.10245,0.13854,0.06965,2.00015,3.41205,1.14101,0.000249981,0.000249981,0.000249981
7,65.9371,1.87866,4.31506,1.16114,0.54774,0.14398,0.15474,0.07834,2.04973,3.06227,1.1377,0.000247378,0.000247378,0.000247378
8,75.3023,1.82898,4.01304,1.16017,0.71649,0.11925,0.16685,0.08352,1.99582,2.87063,1.12024,0.000244774,0.000244774,0.000244774
9,84.7098,1.75576,3.52542,1.122,0.53556,0.17159,0.18131,0.08997,2.00384,2.92046,1.10858,0.00024217,0.00024217,0.00024217
10,94.0479,1.80369,3.51174,1.12039,0.52636,0.17869,0.18468,0.09397,2.02455,2.81263,1.13869,0.000239567,0.000239567,0.000239567
11,102.444,1.71501,3.41721,1.1169,0.49009,0.16511,0.19026,0.10107,1.93937,2.74445,1.10544,0.000236963,0.000236963,0.000236963
12,110.703,1.68687,3.12857,1.11513,0.45939,0.1842,0.20333,0.10772,2.0078,2.75786,1.14521,0.000234359,0.000234359,0.000234359
13,118.788,1.73249,3.18667,1.12404,0.6367,0.17578,0.20491,0.10822,1.94445,2.62571,1.1162,0.000231756,0.000231756,0.000231756
14,127.429,1.6453,2.8742,1.10899,0.62423,0.18095,0.23145,0.11852,1.9587,2.57194,1.09837,0.000229152,0.000229152,0.000229152
15,135.876,1.63657,2.88126,1.09486,0.41474,0.22675,0.22064,0.1141,1.953,2.51834,1.12364,0.000226548,0.000226548,0.000226548
16,144.251,1.60786,2.73658,1.07551,0.43711,0.23308,0.2183,0.10107,2.02088,2.47862,1.13536,0.000223945,0.000223945,0.000223945
17,152.421,1.63984,2.70335,1.07995,0.42189,0.22178,0.23362,0.115,1.99106,2.55337,1.12065,0.000221341,0.000221341,0.000221341
18,160.664,1.63261,2.70078,1.08409,0.56234,0.21675,0.24088,0.11945,1.91998,2.40602,1.11635,0.000218737,0.000218737,0.000218737
19,168.898,1.61051,2.59255,1.06912,0.43051,0.22602,0.22693,0.11004,1.96464,2.44024,1.12378,0.000216133,0.000216133,0.000216133
20,177.06,1.54281,2.35292,1.04482,0.43364,0.21602,0.23879,0.12625,1.97393,2.38566,1.10992,0.00021353,0.00021353,0.00021353
21,185.193,1.57957,2.47523,1.05615,0.64832,0.19324,0.24252,0.123,1.95053,2.32701,1.12729,0.000210926,0.000210926,0.000210926
22,193.853,1.48941,2.28821,1.0424,0.53144,0.24412,0.25644,0.12778,1.95725,2.37445,1.13837,0.000208322,0.000208322,0.000208322
23,202.383,1.50634,2.24736,1.03549,0.48329,0.24383,0.25573,0.12749,1.92697,2.38756,1.11826,0.000205719,0.000205719,0.000205719
24,210.688,1.51789,2.21144,1.04407,0.45713,0.24978,0.25359,0.131,1.9789,2.34881,1.14494,0.000203115,0.000203115,0.000203115
25,218.846,1.47468,2.27129,1.04012,0.67038,0.22124,0.26896,0.12753,1.95881,2.40988,1.13461,0.000200511,0.000200511,0.000200511
26,227.188,1.46741,2.04131,1.0358,0.53337,0.25473,0.26989,0.129,1.95279,2.27028,1.12361,0.000197907,0.000197907,0.000197907
27,235.412,1.49523,2.06203,1.01991,0.4213,0.27204,0.26448,0.12969,1.97981,2.28888,1.12039,0.000195304,0.000195304,0.000195304
28,243.914,1.48245,2.02531,1.01405,0.46054,0.27904,0.26853,0.12907,1.97838,2.27289,1.13095,0.0001927,0.0001927,0.0001927
29,252.505,1.43928,1.99238,1.02415,0.50502,0.2838,0.29083,0.14398,1.97091,2.25226,1.13459,0.000190096,0.000190096,0.000190096
30,261.71,1.43392,1.94435,1.00579,0.53318,0.26601,0.28758,0.13871,1.97446,2.24588,1.13259,0.000187493,0.000187493,0.000187493
31,270.917,1.45229,1.90577,1.01371,0.4611,0.27895,0.28084,0.13366,2.00699,2.23915,1.15563,0.000184889,0.000184889,0.000184889
32,279.794,1.4411,2.04748,1.031,0.52356,0.27253,0.28089,0.13668,1.99599,2.25837,1.14422,0.000182285,0.000182285,0.000182285
33,288.845,1.43161,1.88815,1.0004,0.52547,0.28141,0.2963,0.14451,2.00756,2.24248,1.13532,0.000179682,0.000179682,0.000179682
34,297.756,1.3881,1.83097,1.00201,0.58231,0.24932,0.27248,0.13206,2.00421,2.25799,1.14828,0.000177078,0.000177078,0.000177078
35,306.175,1.43814,1.83374,1.00317,0.49055,0.26603,0.26805,0.13202,1.99441,2.1992,1.13238,0.000174474,0.000174474,0.000174474
36,314.391,1.36458,1.73605,0.98609,0.55112,0.23312,0.26854,0.12267,2.05235,2.24539,1.15033,0.000171871,0.000171871,0.000171871
37,322.818,1.38001,1.7729,0.99983,0.4807,0.29101,0.28474,0.12741,2.01926,2.19875,1.14966,0.000169267,0.000169267,0.000169267
38,331.917,1.39014,1.74848,1.00794,0.44945,0.28709,0.29102,0.1333,2.02631,2.1734,1.13847,0.000166663,0.000166663,0.000166663
39,340.877,1.31383,1.71807,0.98813,0.58868,0.2599,0.28067,0.13027,2.03489,2.18157,1.15642,0.000164059,0.000164059,0.000164059
40,349.375,1.34137,1.71991,0.98017,0.47798,0.26329,0.27924,0.13958,2.00309,2.13766,1.14893,0.000161456,0.000161456,0.000161456
41,358.332,1.31712,1.71741,0.97576,0.44102,0.25499,0.27181,0.13556,2.03749,2.13308,1.15204,0.000158852,0.000158852,0.000158852
42,366.545,1.26985,1.56455,0.96368,0.47964,0.26712,0.27596,0.13739,2.01469,2.15727,1.15609,0.000156248,0.000156248,0.000156248
43,374.648,1.31117,1.61801,0.98583,0.41468,0.30255,0.29036,0.13471,2.01846,2.1912,1.13572,0.000153645,0.000153645,0.000153645
44,382.76,1.30522,1.64789,0.9825,0.4605,0.28084,0.29369,0.14008,2.01014,2.10248,1.14923,0.000151041,0.000151041,0.000151041
45,390.768,1.30584,1.58004,0.9858,0.41451,0.27907,0.28561,0.14352,2.04038,2.10424,1.15564,0.000148437,0.000148437,0.000148437
46,399.131,1.31946,1.5978,0.96877,0.36191,0.33558,0.28748,0.13802,1.98342,2.08499,1.14994,0.000145834,0.000145834,0.000145834
47,407.287,1.27372,1.51793,0.96848,0.41223,0.28469,0.28548,0.13309,2.01483,2.10903,1.14743,0.00014323,0.00014323,0.00014323
48,415.604,1.27586,1.46498,0.97031,0.39325,0.26044,0.28222,0.1347,2.03058,2.13475,1.16187,0.000140626,0.000140626,0.000140626
49,424,1.29266,1.46405,0.97547,0.44181,0.28803,0.28913,0.13989,2.02302,2.1501,1.16193,0.000138022,0.000138022,0.000138022
50,432.269,1.23232,1.44862,0.95649,0.48343,0.25095,0.27815,0.1342,2.00558,2.13288,1.15817,0.000135419,0.000135419,0.000135419
51,440.427,1.26969,1.48048,0.96635,0.38987,0.28462,0.27627,0.12913,2.01738,2.15961,1.15658,0.000132815,0.000132815,0.000132815
52,448.397,1.27363,1.51548,0.98304,0.41549,0.27303,0.26237,0.12278,2.03984,2.13946,1.18056,0.000130211,0.000130211,0.000130211
53,456.601,1.27164,1.48205,0.96072,0.5183,0.26445,0.28691,0.13467,1.98942,2.10268,1.15294,0.000127608,0.000127608,0.000127608
54,465.46,1.27173,1.5154,0.96253,0.39373,0.27215,0.27721,0.13459,2.0294,2.14484,1.16263,0.000125004,0.000125004,0.000125004
55,474.315,1.22941,1.40284,0.94904,0.47169,0.28462,0.28626,0.13605,2.00618,2.11384,1.14843,0.0001224,0.0001224,0.0001224
56,483.021,1.24566,1.42543,0.95722,0.48147,0.27981,0.29761,0.14119,2.03054,2.1443,1.16073,0.000119796,0.000119796,0.000119796
57,491.884,1.22295,1.41997,0.94151,0.45056,0.3103,0.30883,0.1474,2.02486,2.09025,1.17533,0.000117193,0.000117193,0.000117193
58,500.784,1.20591,1.36669,0.95075,0.46532,0.30864,0.30821,0.14548,2.01034,2.06777,1.17676,0.000114589,0.000114589,0.000114589
59,509.367,1.1686,1.33559,0.94824,0.4575,0.2743,0.28554,0.13612,2.00187,2.09611,1.15939,0.000111985,0.000111985,0.000111985
60,517.994,1.16098,1.36374,0.92887,0.48767,0.26664,0.28482,0.13909,1.9917,2.08241,1.15046,0.000109382,0.000109382,0.000109382
61,526.36,1.22068,1.3886,0.94958,0.42869,0.30892,0.30133,0.146,1.99788,2.05338,1.15168,0.000106778,0.000106778,0.000106778
62,534.978,1.17625,1.31473,0.93971,0.44751,0.32212,0.31224,0.14644,2.00185,2.09556,1.1587,0.000104174,0.000104174,0.000104174
63,543.675,1.17911,1.29875,0.94432,0.45974,0.29499,0.29327,0.13505,2.02001,2.09616,1.16595,0.000101571,0.000101571,0.000101571
64,552.263,1.18549,1.34365,0.95387,0.44237,0.31704,0.3043,0.14289,2.02396,2.09862,1.16405,9.89669e-05,9.89669e-05,9.89669e-05
65,560.724,1.16654,1.31196,0.95635,0.44851,0.30414,0.30904,0.15029,1.99351,2.09753,1.14571,9.63632e-05,9.63632e-05,9.63632e-05
66,568.793,1.1377,1.24378,0.93269,0.42577,0.32244,0.31768,0.1538,1.98332,2.04241,1.15128,9.37595e-05,9.37595e-05,9.37595e-05
67,576.734,1.14871,1.3128,0.94806,0.49975,0.31511,0.32255,0.14784,2.00738,2.04087,1.15867,9.11558e-05,9.11558e-05,9.11558e-05
68,584.747,1.11624,1.25061,0.92606,0.47234,0.30907,0.32235,0.15144,2.01833,2.05198,1.16012,8.85521e-05,8.85521e-05,8.85521e-05
69,592.942,1.13337,1.23268,0.93803,0.53021,0.2994,0.32217,0.15235,2.00456,2.0001,1.15086,8.59484e-05,8.59484e-05,8.59484e-05
70,601.291,1.1381,1.23913,0.91779,0.55447,0.3018,0.32537,0.15205,2.01129,2.01237,1.15273,8.33447e-05,8.33447e-05,8.33447e-05
71,609.4,1.09865,1.23416,0.9253,0.45595,0.29864,0.32129,0.15502,2.00623,2.01572,1.15704,8.0741e-05,8.0741e-05,8.0741e-05
72,617.483,1.09153,1.24629,0.92168,0.58898,0.28596,0.3204,0.15437,2.006,2.03486,1.16138,7.81373e-05,7.81373e-05,7.81373e-05
73,626.1,1.13751,1.25881,0.91998,0.5888,0.28711,0.31408,0.14726,2.0289,2.02783,1.16993,7.55336e-05,7.55336e-05,7.55336e-05
74,634.542,1.06722,1.16177,0.92306,0.52321,0.2876,0.31232,0.14616,2.02335,2.02795,1.17288,7.29299e-05,7.29299e-05,7.29299e-05
75,642.624,1.09328,1.16571,0.92964,0.39757,0.31639,0.3127,0.14863,1.99206,2.01082,1.15116,7.03262e-05,7.03262e-05,7.03262e-05
76,650.631,1.12364,1.19822,0.92767,0.44641,0.32619,0.3223,0.15486,1.99719,2.01582,1.16167,6.77225e-05,6.77225e-05,6.77225e-05
77,658.88,1.11443,1.18429,0.92009,0.47641,0.28323,0.31452,0.14636,2.02992,2.05259,1.16664,6.51188e-05,6.51188e-05,6.51188e-05
78,667.686,1.12067,1.22172,0.93673,0.40146,0.33055,0.3235,0.15002,1.99959,2.03584,1.16439,6.25151e-05,6.25151e-05,6.25151e-05
79,675.947,1.07572,1.15433,0.91451,0.40398,0.31644,0.31673,0.14866,2.01369,2.02822,1.16617,5.99114e-05,5.99114e-05,5.99114e-05
80,684.171,1.04884,1.15473,0.90619,0.39478,0.33581,0.30704,0.14166,2.02236,2.05165,1.16596,5.73077e-05,5.73077e-05,5.73077e-05
81,692.565,1.06359,1.16629,0.9199,0.40528,0.30608,0.31511,0.15141,2.01135,2.02056,1.16389,5.4704e-05,5.4704e-05,5.4704e-05
82,700.974,1.08176,1.1599,0.91435,0.43963,0.30875,0.30491,0.14614,2.00917,2.03923,1.16895,5.21003e-05,5.21003e-05,5.21003e-05
83,709.278,1.03385,1.11016,0.91672,0.41088,0.30821,0.30199,0.14206,1.99474,2.01746,1.15692,4.94966e-05,4.94966e-05,4.94966e-05
84,717.478,1.07249,1.15629,0.9175,0.39854,0.31976,0.29586,0.14665,1.98823,2.01665,1.15807,4.68929e-05,4.68929e-05,4.68929e-05
85,725.996,1.06583,1.13255,0.90352,0.42562,0.3044,0.29409,0.1443,2.0047,2.02608,1.15972,4.42892e-05,4.42892e-05,4.42892e-05
86,734.501,1.05397,1.14514,0.90248,0.43077,0.30324,0.305,0.15086,2.00258,2.02913,1.16406,4.16855e-05,4.16855e-05,4.16855e-05
87,742.907,1.03725,1.09657,0.90958,0.41922,0.31581,0.31499,0.14933,2.00288,2.02736,1.16194,3.90818e-05,3.90818e-05,3.90818e-05
88,751.339,1.03017,1.1183,0.90092,0.46932,0.30171,0.31371,0.14808,1.99946,2.04961,1.16181,3.64781e-05,3.64781e-05,3.64781e-05
89,759.826,1.06498,1.15877,0.90748,0.42044,0.31044,0.30254,0.14498,2.00525,2.06365,1.16813,3.38744e-05,3.38744e-05,3.38744e-05
90,768.146,1.02536,1.10006,0.9017,0.46956,0.28683,0.30676,0.14302,2.00511,2.04585,1.16786,3.12707e-05,3.12707e-05,3.12707e-05
91,799.906,1.0908,1.32476,0.92499,0.40765,0.30481,0.29419,0.14188,2.01494,2.05876,1.17276,2.8667e-05,2.8667e-05,2.8667e-05
92,808.027,1.01482,1.29279,0.91221,0.42975,0.29363,0.28862,0.1415,2.00846,2.08592,1.17386,2.60633e-05,2.60633e-05,2.60633e-05
93,816.053,1.01571,1.28793,0.91662,0.43087,0.29553,0.29003,0.14193,2.00152,2.09798,1.17409,2.34596e-05,2.34596e-05,2.34596e-05
94,824.181,1.00137,1.23753,0.91858,0.44483,0.29907,0.29822,0.14621,1.99419,2.09098,1.16851,2.08559e-05,2.08559e-05,2.08559e-05
95,832.363,1.00595,1.28988,0.89325,0.44421,0.27749,0.28817,0.13956,2.00495,2.13039,1.17262,1.82522e-05,1.82522e-05,1.82522e-05
96,840.4,0.99964,1.23838,0.91443,0.45339,0.2821,0.29153,0.14049,2.01109,2.12033,1.17831,1.56485e-05,1.56485e-05,1.56485e-05
97,848.488,0.99228,1.25309,0.90952,0.45655,0.28449,0.30034,0.1443,2.01134,2.11055,1.17984,1.30448e-05,1.30448e-05,1.30448e-05
98,856.637,0.95929,1.22498,0.90718,0.43331,0.27138,0.28812,0.14043,2.02424,2.11375,1.18166,1.04411e-05,1.04411e-05,1.04411e-05
99,865.013,0.97206,1.21322,0.88999,0.45387,0.28232,0.3024,0.14189,2.02117,2.09315,1.18017,7.8374e-06,7.8374e-06,7.8374e-06
100,873.227,0.97757,1.21601,0.89194,0.45352,0.27969,0.3042,0.14334,2.01644,2.08605,1.18005,5.2337e-06,5.2337e-06,5.2337e-06
