epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.6,2.25169,6.29814,1.21789,0.23472,0.23628,0.1711,0.07283,1.9606,2.68778,1.11017,0.00333007,0.00333007,0.00333007
2,244.718,2.12723,4.08755,1.15742,0.47759,0.29059,0.30215,0.13181,1.96538,2.38339,1.15599,0.00659744,0.00659744,0.00659744
3,362.37,2.16202,3.00782,1.1869,0.38319,0.32402,0.29066,0.12681,2.01503,2.27657,1.18007,0.0097988,0.0097988,0.0097988
4,476.766,2.15648,2.49343,1.20919,0.52031,0.38324,0.41065,0.18444,1.94061,1.95589,1.16128,0.009703,0.009703,0.009703
5,591.371,2.09059,2.19702,1.1726,0.55569,0.3834,0.43646,0.19094,1.91218,1.81174,1.15061,0.009604,0.009604,0.009604
6,706.463,2.04095,2.04893,1.15353,0.5542,0.43614,0.46245,0.21187,1.90546,1.78153,1.14977,0.009505,0.009505,0.009505
7,825.413,2.02063,1.95829,1.14495,0.57633,0.44236,0.49993,0.23154,1.86766,1.71872,1.1365,0.009406,0.009406,0.009406
8,942.357,1.97955,1.8745,1.1308,0.55683,0.46761,0.51325,0.23542,1.83309,1.65819,1.12187,0.009307,0.009307,0.009307
9,1058.06,1.96018,1.8158,1.13001,0.59011,0.49528,0.53893,0.2535,1.82682,1.60241,1.12031,0.009208,0.009208,0.009208
10,1173.12,1.94304,1.75435,1.12067,0.66469,0.48484,0.56242,0.26986,1.82737,1.54406,1.10727,0.009109,0.009109,0.009109
11,1288,1.92546,1.69748,1.1142,0.66891,0.51082,0.59142,0.27241,1.83099,1.51382,1.11196,0.00901,0.00901,0.00901
12,1408.98,1.91015,1.66157,1.10874,0.66518,0.49357,0.58179,0.27589,1.79238,1.48821,1.10418,0.008911,0.008911,0.008911
13,1529.04,1.90192,1.62958,1.10734,0.69051,0.53736,0.60964,0.2875,1.78918,1.44787,1.09745,0.008812,0.008812,0.008812
14,1648.4,1.89215,1.59625,1.09816,0.65948,0.55942,0.61928,0.2914,1.7954,1.4128,1.09619,0.008713,0.008713,0.008713
15,1767.94,1.87868,1.54742,1.091,0.71335,0.54276,0.62521,0.29352,1.80654,1.40901,1.10272,0.008614,0.008614,0.008614
16,1886.02,1.86601,1.53028,1.08935,0.71799,0.58057,0.65128,0.30737,1.78444,1.3652,1.09183,0.008515,0.008515,0.008515
17,2004.08,1.84902,1.49609,1.07999,0.73964,0.58705,0.66069,0.31571,1.77801,1.32307,1.08462,0.008416,0.008416,0.008416
18,2122.81,1.83667,1.46739,1.07432,0.76105,0.59914,0.67411,0.31852,1.7626,1.30216,1.07388,0.008317,0.008317,0.008317
19,2238.54,1.82468,1.44993,1.07533,0.75833,0.58813,0.6816,0.32227,1.76923,1.28992,1.08998,0.008218,0.008218,0.008218
20,2353.33,1.8305,1.43624,1.07271,0.77946,0.58012,0.68814,0.33416,1.75397,1.27557,1.08218,0.008119,0.008119,0.008119
21,2468.84,1.81513,1.40376,1.06659,0.75958,0.62967,0.70213,0.33759,1.76036,1.25428,1.07726,0.00802,0.00802,0.00802
22,2588.26,1.80826,1.3916,1.0684,0.77622,0.60454,0.70034,0.33501,1.76455,1.25861,1.08386,0.007921,0.007921,0.007921
23,2715.02,1.79451,1.36757,1.0611,0.73822,0.61851,0.69985,0.33481,1.7572,1.22846,1.08936,0.007822,0.007822,0.007822
24,2843.81,1.78799,1.35211,1.05901,0.79722,0.63245,0.7268,0.3468,1.75898,1.2111,1.08338,0.007723,0.007723,0.007723
25,2971.04,1.77542,1.33953,1.05325,0.76105,0.64225,0.72873,0.34783,1.74165,1.20323,1.07596,0.007624,0.007624,0.007624
26,3097.18,1.77158,1.3212,1.05052,0.79015,0.62567,0.73549,0.34707,1.74835,1.19018,1.07798,0.007525,0.007525,0.007525
27,3224.39,1.76718,1.29975,1.04989,0.77647,0.66186,0.7365,0.35557,1.75087,1.17279,1.07863,0.007426,0.007426,0.007426
28,3349.53,1.75286,1.27787,1.0509,0.80001,0.64758,0.74016,0.35293,1.75199,1.15341,1.08589,0.007327,0.007327,0.007327
29,3469.76,1.74502,1.2706,1.04483,0.8068,0.65264,0.74048,0.35273,1.75491,1.14438,1.08279,0.007228,0.007228,0.007228
30,3591.56,1.74401,1.2603,1.03989,0.79832,0.65654,0.74497,0.35206,1.74693,1.15625,1.07497,0.007129,0.007129,0.007129
31,3709.28,1.7322,1.24648,1.04079,0.83499,0.65291,0.74581,0.35587,1.75196,1.138,1.07841,0.00703,0.00703,0.00703
32,3825.74,1.7318,1.2283,1.03704,0.8163,0.67077,0.75566,0.35955,1.75742,1.12247,1.08254,0.006931,0.006931,0.006931
33,3942.52,1.72618,1.22263,1.03391,0.80403,0.67105,0.75206,0.35799,1.74519,1.11921,1.07624,0.006832,0.006832,0.006832
