epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3784,2.43143,7.73048,1.32899,0.241,0.12261,0.05542,0.02402,2.06663,3.30838,1.12295,8.74096e-05,8.74096e-05,8.74096e-05
2,95.5988,2.14709,5.13052,1.12746,0.31226,0.19472,0.14679,0.06863,1.96104,2.68808,1.10254,0.000173343,0.000173343,0.000173343
3,142.255,2.07489,4.06693,1.11553,0.37777,0.30097,0.25922,0.12048,1.93753,2.39372,1.10231,0.000257541,0.000257541,0.000257541
4,189.153,2.02462,3.39104,1.11057,0.40393,0.33987,0.30892,0.14107,1.89329,2.13875,1.09412,0.000255189,0.000255189,0.000255189
5,235.851,2.02458,2.94459,1.1054,0.39588,0.39039,0.37214,0.16962,1.87221,2.0515,1.10179,0.000252585,0.000252585,0.000252585
6,283.238,1.97922,2.63106,1.08964,0.48561,0.42228,0.42291,0.19805,1.86074,1.90422,1.0815,0.000249981,0.000249981,0.000249981
7,331.216,1.96157,2.39604,1.08584,0.52635,0.44267,0.45404,0.20917,1.84472,1.84118,1.07912,0.000247378,0.000247378,0.000247378
8,377.936,1.92105,2.24557,1.07488,0.5739,0.43508,0.47405,0.22863,1.81532,1.80577,1.06265,0.000244774,0.000244774,0.000244774
9,424.478,1.9287,2.12821,1.07479,0.60539,0.44874,0.50743,0.24431,1.83166,1.7151,1.07172,0.00024217,0.00024217,0.00024217
10,471.113,1.9075,2.02853,1.07611,0.59951,0.46087,0.51321,0.2336,1.8532,1.6878,1.07718,0.000239567,0.000239567,0.000239567
11,517.7,1.90168,1.94916,1.06709,0.55382,0.45597,0.50448,0.24045,1.80295,1.67937,1.06689,0.000236963,0.000236963,0.000236963
12,566.384,1.87242,1.87013,1.06316,0.64929,0.48325,0.54484,0.25476,1.79302,1.62203,1.06523,0.000234359,0.000234359,0.000234359
13,617.26,1.87156,1.80549,1.06349,0.62545,0.50473,0.55596,0.26019,1.78482,1.62965,1.05737,0.000231756,0.000231756,0.000231756
