epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.56702,1.19252,2.44408,1.00364,0.02461,1,0.60422,0.43068,0.98192,2.50692,0.86447,0.000648148,0.000648148,0.000648148
2,16.3578,0.9419,1.45735,0.89539,0.78488,0.52632,0.68862,0.46659,1.13808,2.2574,0.91241,0.0013018,0.0013018,0.0013018
3,23.0124,0.95275,1.32056,0.91292,0.58325,0.88918,0.65861,0.45456,1.01898,1.33651,0.93744,0.00194225,0.00194225,0.00194225
4,29.2921,0.94725,1.15987,0.90322,0.80948,0.51911,0.67219,0.48575,0.97451,2.15638,0.91831,0.0019406,0.0019406,0.0019406
5,36.6744,0.91586,1.15518,0.89724,0.4872,0.38534,0.30836,0.22008,1.27911,2.49633,1.12214,0.0019208,0.0019208,0.0019208
6,45.459,0.91668,1.13445,0.88823,0.55927,0.8897,0.65726,0.48652,0.91615,1.27873,0.89198,0.001901,0.001901,0.001901
7,53.7181,0.89843,1.03218,0.89464,0.77095,0.48715,0.70384,0.50806,0.99411,1.80718,0.94728,0.0018812,0.0018812,0.0018812
8,60.1597,0.90095,1.01348,0.88914,0.73003,0.82344,0.76228,0.56023,0.91166,1.02464,0.89464,0.0018614,0.0018614,0.0018614
9,67.0734,0.87565,0.96478,0.8861,0.66906,0.93233,0.79019,0.60245,0.85087,1.03178,0.87581,0.0018416,0.0018416,0.0018416
10,74.0798,0.90709,0.98913,0.89613,0.73133,0.88722,0.79856,0.5922,0.92192,0.84793,0.90534,0.0018218,0.0018218,0.0018218
11,80.5287,0.87739,0.94108,0.88675,0.72315,0.82485,0.83967,0.62515,0.87153,1.17633,0.88035,0.001802,0.001802,0.001802
12,87.4934,0.88929,0.93101,0.87928,0.82164,0.90038,0.93149,0.69042,0.93145,0.74307,0.913,0.0017822,0.0017822,0.0017822
13,94.3854,0.8698,0.8981,0.88627,0.58534,0.83647,0.67495,0.51213,0.87677,1.11682,0.89759,0.0017624,0.0017624,0.0017624
14,102.228,0.86334,0.92052,0.88786,0.59802,0.87594,0.72449,0.56491,0.83431,0.94399,0.87882,0.0017426,0.0017426,0.0017426
15,109.442,0.85717,0.86051,0.88381,0.74938,0.86557,0.81436,0.62232,0.85749,0.87467,0.88809,0.0017228,0.0017228,0.0017228
16,116.247,0.84677,0.87416,0.88129,0.77939,0.85526,0.87238,0.67864,0.84992,0.83735,0.88326,0.001703,0.001703,0.001703
17,123.128,0.86077,0.88598,0.87786,0.81631,0.89382,0.89331,0.67463,0.87367,0.79911,0.88992,0.0016832,0.0016832,0.0016832
18,129.436,0.84163,0.83394,0.88173,0.85317,0.78008,0.89233,0.66299,0.86729,1.21452,0.88571,0.0016634,0.0016634,0.0016634
19,136.807,0.8413,0.85305,0.87475,0.80926,0.82707,0.87112,0.6585,0.85601,0.85449,0.8904,0.0016436,0.0016436,0.0016436
20,143.434,0.83362,0.83299,0.87562,0.8235,0.88578,0.91675,0.71016,0.84063,0.65872,0.87781,0.0016238,0.0016238,0.0016238
21,150.721,0.83237,0.81036,0.87404,0.69494,0.93778,0.84928,0.64366,0.88894,0.81588,0.89016,0.001604,0.001604,0.001604
22,157.545,0.80344,0.75244,0.87457,0.70464,0.78925,0.76929,0.59455,0.84252,0.9968,0.8805,0.0015842,0.0015842,0.0015842
23,167.978,0.82563,0.80891,0.86743,0.65913,0.85338,0.74058,0.56094,0.84129,0.85407,0.8862,0.0015644,0.0015644,0.0015644
24,177.6,0.81168,0.77166,0.86743,0.75083,0.86842,0.81307,0.62719,0.81738,0.77604,0.87603,0.0015446,0.0015446,0.0015446
25,185.805,0.81581,0.75345,0.87228,0.72891,0.8515,0.79635,0.59951,0.88312,0.76947,0.88822,0.0015248,0.0015248,0.0015248
26,194.858,0.82154,0.75207,0.86665,0.7379,0.93421,0.87473,0.68658,0.8186,0.78992,0.87695,0.001505,0.001505,0.001505
27,203.251,0.82667,0.76127,0.87884,0.66385,0.94925,0.78668,0.60583,0.84101,0.76737,0.89185,0.0014852,0.0014852,0.0014852
28,213.006,0.80035,0.81216,0.86481,0.66429,0.9718,0.78791,0.60786,0.84893,1.00347,0.88665,0.0014654,0.0014654,0.0014654
29,223.88,0.83426,0.75313,0.87271,0.81972,0.87406,0.90513,0.68999,0.83274,0.69826,0.87682,0.0014456,0.0014456,0.0014456
30,232.351,0.83472,0.76675,0.87159,0.75453,0.71645,0.79805,0.59203,0.87932,1.25923,0.8887,0.0014258,0.0014258,0.0014258
31,242.23,0.82126,0.77538,0.87595,0.77995,0.76692,0.84811,0.65197,0.85234,1.22076,0.88105,0.001406,0.001406,0.001406
32,250.626,0.80705,0.71914,0.8649,0.80775,0.8985,0.8873,0.69794,0.85055,0.65659,0.87848,0.0013862,0.0013862,0.0013862
33,261.176,0.79092,0.72604,0.86365,0.7972,0.85902,0.87308,0.67711,0.8163,0.76373,0.88097,0.0013664,0.0013664,0.0013664
34,269.833,0.79477,0.70202,0.86273,0.81492,0.90213,0.89649,0.69256,0.8291,0.69275,0.87006,0.0013466,0.0013466,0.0013466
35,278.29,0.80755,0.72753,0.86452,0.78725,0.93045,0.89875,0.71021,0.81935,0.64678,0.86929,0.0013268,0.0013268,0.0013268
36,284.466,0.80773,0.68628,0.86768,0.70205,0.77066,0.74512,0.57026,0.84762,0.87925,0.88741,0.001307,0.001307,0.001307
37,291.447,0.79176,0.68243,0.86294,0.77269,0.89452,0.85863,0.64965,0.87468,0.92446,0.88449,0.0012872,0.0012872,0.0012872
38,298.104,0.78479,0.69085,0.86651,0.81018,0.88254,0.86963,0.65443,0.86536,0.72563,0.87845,0.0012674,0.0012674,0.0012674
39,305.465,0.77819,0.65324,0.86436,0.75401,0.83083,0.84923,0.65427,0.83105,0.82574,0.87804,0.0012476,0.0012476,0.0012476
40,312.903,0.78799,0.67811,0.86167,0.8073,0.90789,0.88937,0.66137,0.90692,0.6655,0.90404,0.0012278,0.0012278,0.0012278
41,320.878,0.78203,0.69946,0.86918,0.83214,0.87589,0.9179,0.70691,0.82144,0.7018,0.87826,0.001208,0.001208,0.001208
42,328.072,0.78586,0.67847,0.86221,0.7766,0.96056,0.87481,0.67236,0.87959,0.64191,0.87962,0.0011882,0.0011882,0.0011882
43,335.069,0.76564,0.62973,0.85636,0.80501,0.90018,0.86872,0.67574,0.84184,0.713,0.88083,0.0011684,0.0011684,0.0011684
