epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8612,1.37865,1.86867,1.03249,0.02023,0.99936,0.509,0.28629,1.13687,2.65141,0.91112,0.000654971,0.000654971,0.000654971
2,23.8399,1.24081,1.13187,0.95447,0.75704,0.94959,0.8492,0.53609,1.15718,1.10504,0.92589,0.00130855,0.00130855,0.00130855
3,34.8509,1.22462,1.05054,0.94412,0.82298,0.89279,0.92254,0.55982,1.15353,0.93289,0.95355,0.00194894,0.00194894,0.00194894
4,47.0045,1.19791,0.9398,0.93833,0.80436,0.9515,0.93144,0.57593,1.17518,0.86102,0.9422,0.0019406,0.0019406,0.0019406
5,59.738,1.16048,0.89409,0.9333,0.77486,0.93618,0.92617,0.57682,1.11072,0.90206,0.93569,0.0019208,0.0019208,0.0019208
6,73.6523,1.15377,0.8578,0.93138,0.82273,0.92406,0.90197,0.57586,1.15748,0.78771,0.94809,0.001901,0.001901,0.001901
7,88.2416,1.12291,0.82009,0.92647,0.90584,0.86535,0.92571,0.60776,1.10726,0.88613,0.9259,0.0018812,0.0018812,0.0018812
8,103.85,1.09563,0.78924,0.91131,0.83108,0.97256,0.90473,0.60412,1.09888,0.72684,0.92299,0.0018614,0.0018614,0.0018614
9,120.819,1.09967,0.77411,0.91452,0.88059,0.93177,0.95891,0.63839,1.069,0.70473,0.91639,0.0018416,0.0018416,0.0018416
10,139.032,1.10636,0.76977,0.91152,0.82714,0.92916,0.87927,0.56159,1.16837,0.83569,0.95041,0.0018218,0.0018218,0.0018218
11,157.487,1.12187,0.76399,0.92124,0.84261,0.84046,0.92136,0.53271,1.22679,0.91757,0.97605,0.001802,0.001802,0.001802
12,175.949,1.11874,0.76874,0.92331,0.89238,0.94576,0.95196,0.574,1.20238,0.71902,0.96876,0.0017822,0.0017822,0.0017822
13,194.309,1.08581,0.74654,0.90907,0.86901,0.93746,0.92152,0.62717,1.06392,0.72524,0.91796,0.0017624,0.0017624,0.0017624
14,211.981,1.07695,0.75021,0.90864,0.86818,0.97929,0.9035,0.63717,1.03247,0.76023,0.9005,0.0017426,0.0017426,0.0017426
15,230.61,1.0466,0.70602,0.9016,0.85974,0.85003,0.92873,0.6343,1.03204,0.87556,0.90524,0.0017228,0.0017228,0.0017228
16,249.652,1.04371,0.69851,0.90131,0.84625,0.95086,0.9493,0.48652,1.38483,0.71526,1.05742,0.001703,0.001703,0.001703
17,268.467,1.0635,0.69212,0.91195,0.87446,0.94685,0.92372,0.64106,1.03268,0.67749,0.89294,0.0016832,0.0016832,0.0016832
18,286.862,1.04397,0.69986,0.90291,0.87001,0.93618,0.9036,0.60008,1.08356,0.70711,0.9255,0.0016634,0.0016634,0.0016634
19,306.151,1.05302,0.68026,0.8979,0.91845,0.94767,0.96825,0.62432,1.13196,0.62249,0.95033,0.0016436,0.0016436,0.0016436
20,324.895,1.04806,0.66052,0.89682,0.89292,0.95724,0.96425,0.69911,1.00786,0.59755,0.89406,0.0016238,0.0016238,0.0016238
21,343.746,1.01611,0.65416,0.88535,0.89514,0.94959,0.94033,0.6309,1.07991,0.63387,0.9193,0.001604,0.001604,0.001604
22,362.26,1.01479,0.66988,0.89351,0.91186,0.96387,0.96716,0.60713,1.17569,0.60363,0.94797,0.0015842,0.0015842,0.0015842
23,380.64,1.03021,0.62419,0.899,0.90704,0.95278,0.96123,0.62952,1.0917,0.61985,0.92491,0.0015644,0.0015644,0.0015644
