epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0033,0.66873,1.17435,0.93386,0.96642,0.94236,0.9698,0.78968,0.65726,0.68206,0.94266,0.000553046,0.000553046,0.000553046
2,105.925,0.70709,0.59964,0.9509,0.90152,0.82166,0.92652,0.75122,0.69474,0.81072,0.96618,0.00099895,0.00099895,0.00099895
3,153.434,0.68757,0.55392,0.94324,0.95124,0.90186,0.95341,0.7864,0.66051,0.61144,0.96489,0.00133483,0.00133483,0.00133483
4,200.502,0.65009,0.49349,0.92213,0.95038,0.94968,0.97721,0.81781,0.62968,0.4674,0.94248,0.0011719,0.0011719,0.0011719
5,247.957,0.62287,0.45091,0.90973,0.97684,0.93899,0.98357,0.84589,0.5685,0.40772,0.8992,0.00100687,0.00100687,0.00100687
6,295.37,0.58221,0.41121,0.8954,0.97978,0.95857,0.98616,0.86253,0.52798,0.3741,0.88904,0.000841835,0.000841835,0.000841835
7,342.614,0.55333,0.37033,0.88196,0.97584,0.97902,0.99089,0.85605,0.53332,0.34393,0.88458,0.000676802,0.000676802,0.000676802
8,389.771,0.53377,0.34282,0.87031,0.98075,0.97968,0.99174,0.87942,0.49047,0.30842,0.87152,0.000511769,0.000511769,0.000511769
9,436.061,0.49892,0.31583,0.86109,0.98882,0.96951,0.98942,0.88646,0.47516,0.30247,0.85437,0.000346736,0.000346736,0.000346736
10,482.507,0.48119,0.28808,0.84991,0.98465,0.98344,0.99269,0.89375,0.45671,0.27258,0.84834,0.000181703,0.000181703,0.000181703
